timestamp,heart_rate,systolic_bp,diastolic_bp,respiratory_rate,spo2,body_temp,glucose_level,activity_level,steps_per_min,anomaly
2024-01-01 00:00:00,79,145,78,16,93.03885606487918,37.34477941184635,115.74673708564383,resting,61,1
2024-01-01 00:01:00,73,121,79,19,94.89002870612626,35.939963633854575,88.29200862725659,intense,63,0
2024-01-01 00:02:00,81,131,80,17,95.82594318741482,36.912247490986054,117.99105464312977,moderate,60,0
2024-01-01 00:03:00,90,121,89,17,97.29933782184938,36.94908785138873,99.0831141159943,intense,46,0
2024-01-01 00:04:00,72,109,72,16,99.04832465321375,36.93303833071443,112.84229783113463,moderate,56,0
2024-01-01 00:05:00,72,86,71,19,98.38827188674352,36.823091808258084,88.4903205146901,resting,54,0
2024-01-01 00:06:00,90,123,92,15,94.64135040310502,37.39303653767695,70.4973236769876,resting,35,0
2024-01-01 00:07:00,82,108,75,15,96.2565754756687,36.69434153346142,75.26785182405234,light,58,0
2024-01-01 00:08:00,70,107,67,10,97.15275117740514,36.798607275355515,137.54353502844234,resting,52,0
2024-01-01 00:09:00,80,112,75,19,96.475585751107,36.95783265903923,91.03089552981974,moderate,46,0
2024-01-01 00:10:00,70,146,76,15,96.46140954826342,36.71096523634759,116.44237094322484,resting,50,0
2024-01-01 00:11:00,70,156,95,24,93.55451335069145,36.10699937162442,80.53365569732776,moderate,56,0
2024-01-01 00:12:00,77,123,89,14,94.69453169772072,36.90706502184447,102.68282085449378,resting,55,0
2024-01-01 00:13:00,55,113,91,16,96.19412030172145,36.912728188685726,105.22610826892974,intense,48,0
2024-01-01 00:14:00,57,102,88,17,90.81354865010968,36.61741745929227,142.54618016652054,resting,42,0
2024-01-01 00:15:00,69,127,89,12,98.28128864001971,36.73384254173535,95.23211891846225,light,39,0
2024-01-01 00:16:00,64,146,73,17,94.25464180057786,35.210064880180006,89.33097926363135,moderate,46,0
2024-01-01 00:17:00,78,116,78,16,98.37367626653028,37.40420302466706,105.2640041402597,resting,46,0
2024-01-01 00:18:00,65,84,70,15,98.19783200894182,37.250515087930296,86.12856119545818,intense,55,0
2024-01-01 00:19:00,60,130,77,19,95.91261391377523,36.131084409758735,106.14365333971317,light,44,0
2024-01-01 00:20:00,89,134,86,13,99.00109665140307,36.462266377486216,99.19767318093274,intense,55,0
2024-01-01 00:21:00,72,96,81,16,98.48639468984986,37.52426068052079,88.69273518372499,light,43,0
2024-01-01 00:22:00,75,122,93,20,96.38207705833072,36.22257466133952,107.41575900731863,intense,49,0
2024-01-01 00:23:00,60,126,68,13,96.1564807696166,37.039229344618064,101.62482054031133,intense,37,0
2024-01-01 00:24:00,69,118,85,15,99.19446557132872,36.55399163445978,111.4048065856489,moderate,35,0
2024-01-01 00:25:00,76,108,67,23,97.46402767881533,37.00507097834258,124.78680060759238,intense,54,0
